"text","class"
" nomer resi      gabisa dilacak ","Positive"
"  komplain transaksi  invoice terkena pemotongan kelebihan ongkir rp   cocok  detail invoice     kejelasan  disuruh nunggu ","Positive"
" gila bener ga bertanggung  tokopedia gimana  maju woy ","Positive"
" min kmrn  bayar cc tgl okt sdh berhasil  koq   dananya  masuk  rekening cc ya tagihan cc   dibayar  ya  toped ","Positive"
" iya sabar bro  mimin tunggu x jam","Positive"
" emg suka lola min apalg pas siang kalo   jam malem  lancar","Positive"
" dm  dikirim ya mohon dibantu trims ","Positive"
"  coba dr  sabtu sampe     belom  gimana  solusinya   proses ga mbaa  sayang voucher  ","Positive"
" selamat siang  konfirmasi  tiket problem   masukin nomer resi    muncul notif suruh masukin nomor resi   tiket tsb otomatis  selesai    masukin nomor resi mohon konfirmasi   tokopedia thx ","Positive"
" selamat siang kaa  ya  kelanjutannya krn   toko   moderasi","Positive"
"min gimn sih sdh  x jam   lum  aktipin ovo cash    dikirimin kode aktivasinya  it nya ngapain aja sih min klu ng  ngg  deh pindah   ovo cash bikin kesal aja bikin ribet aja deh ","Positive"
"  bt  pelayanan gak   barang hilang  gak  solusi koq","Positive"
"   dm   pagi ya mohon dibantu  didiamkan  terima kasih ","Positive"
" oke cashback  pindah  ovo point   pake ovo point  ","Positive"
"  dananya skrg ditahan tokopedia ya besok  hubungi penjualnya   sy retur  ekspedisi yg  terima kasih ya cs nya membantu  ","Positive"
"  sy coba ya tq   digabung dgn kupon free ongkor ","Positive"
" diperhatiin abis gajian belanja  tokopedia  ya bukti bakti gue  ortu   tokopedia  sih mama  pulsa gue beliin  tokopedia   setia gitu sa trakan berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
" selamat siang  standar pengiriman order brp  yah thankyou   hati tokopediacare  adatipsnyatoppers tokopediacare berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
"  ovo point    hasil cashback tiket   tanggal nopember kemarin mohon penjelasannya ","Positive"
"   dm mohon   respon thx ","Positive"
"  yakali kak gada call center seengaknya  ngobrol gitu","Positive"
"     tokopedia   pembatalan dr penjual   kartu kredit  knp  tagihannya ya   dibantu dngn cepat ","Positive"
" mohon responnya keluhan    data     ditindaklanjuti terima kasih ","Positive"
"   gnti no telp biar  kaya ovo ko g bs ya stlh klik next ga   ","Positive"
" hai min  bantu  ubah resi  ganti kurir  resi valid jd ","Positive"
"   menjual formulir pendaftaran sekolah    mengirim bukti pembayaran  barang  alamat pembeli kwitansi    mengirim email   pembeli  mengkonfirmasi pembelian ","Positive"
"   balas mohon dibaca dibantu ya min","Positive"
" mohon bantuannya    transaksi  indomaret ","Positive"
"  terima kasih konfirmasinya ","Positive"
"  ngaco  dr tgl oktober saldo tokopedia blm masuk   blm   tarik   pake transaksi  sistemnya  silahkan cek riwayat saldo tokopedia   tgl oktober  skrg ","Positive"
"min  gimana  gratis ongkir  tukar poin gak   error message nya  gak  ","Positive"
" iya yg bayar listrik hehe ","Positive"
"  sistem jne  erorrr  tokopedia ngelacak gak   status gk berubah uda input resi valid  masi menunggu status pengiriman dr kurir  cek  web jne uda delivered barangnya ckck","Positive"
" halo min mohon cek resi sy kirim har kamis  j t kahfi tp knapa statusnya   kahfi  j t kahfi tdak mlakukan pengiriman ktnya hr smpe  tolong cek min   twit  gk   respon","Positive"
"tim  mendukung perjuangan toppers  pahlawan    membangun bangsa indonesia    maju selamat haripahlawan toppers ","Positive"
"  resi tdk valid barang ga   pda tujuan    barang jg sampe pda tujuan dgn aman brt resi valid  bs  tracking  bukti  barang aman  tujuan pembeli  ga   jgn klamaan  ceknya sampe x jam   udah  buktinya ","Positive"
" oke thanks min","Positive"
" iya   terima   min makasi ya","Positive"
" halo buyer sy setuju  memperpanjang proses pengiriman   rabu  batas pengiriman cm sampe  senin transaksi no tolong dibantu prosesnya ya thanx ","Positive"
"   kak batas   top up saldo ovo  jam semenjak  pemesanan trmksh ","Positive"
" mohon bantuannya akun   ambil alih   mengaku seller","Positive"
" ok   menghapus toko  ","Positive"
"hi sy message keluhan sya mohon  direspon ya terima kasih  ","Positive"
" terimakasih   cashback nya  pakai tokopedia  pembayaran tagihan  cash back nya    jatuh cinta but hopefully proses verifikasi   cepat g nyambung ps t co cnjkzis mw","Positive"
" min klo   gadget  aplikasi top seller  tokopedia  top seller tdk   buka ","Positive"
" min  top up tokocash ato saldo tokopedia gmn ya ","Positive"
"   pilihan pembayaran dg ovopoint wkt pemesanan tiket kereta  enak  drpd ovo","Positive"
"  barangnya  beli  min dgn nama penerima hamka nalole jl cut nyak dienkelurahan heledulaa utarakecamatan kota timur kota gorontalo  gudang super top gorontalokota timurkota gorontalo gorontalo ","Positive"
"  akses topdonasi  palu   diakses   perangkat   membantu saudara saudara   palu  donggala  mengakses link prayforpaludonggala tokopediacare ","Positive"
"    kirim via email kmrn min ok dah  kirim lg via dm ya","Positive"
"  ovo points   berlakunya   tokocash     berlakunya terima kasih ","Positive"
" min dm  belom dibalas  kemarin mohon responsive  membantu","Positive"
" mohon dicek ","Positive"
" emang cs naya uda search  google lokasi pembeli    jakarta barat  kyk anak sd   baca g  meneliti  ","Positive"
" selamat sore min bantu cek barang  diambil drivernya  siang  sy cek statusnya mencari driver y min tolong dibantu min","Positive"
" selamat siang min   problem terkait transaksi mohon bantuan nya pusat resolusi slow respon","Positive"
"min cek dm nya yahhh tokopedia  ya bukti bakti gue  ortu   tokopedia  sih mama  pulsa gue beliin  tokopedia   setia gitu sa trakan berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
"tim tokopediacare percaya saudara   palu donggala sulteng   bangkit  tersenyum berkat dukungan   yuk   salurkan kepedulianmu  berdonasi  link ","Positive"
"tim tokopediacare percaya saudara   palu donggala sulteng   bangkit  tersenyum berkat dukungan   yuk   salurkan kepedulianmu  berdonasi  link ","Positive"
"tim tokopediacare percaya saudara   palu donggala sulteng   bangkit  tersenyum berkat dukungan   yuk   salurkan kepedulianmu  berdonasi  link ","Positive"
"    aja min hehe ","Positive"
" halo mohon bantuannya   orang  berhasil masuk  akun tokopedia   fitur security  aktif ","Positive"
" ok  tunggu","Positive"
" halo   infokan  order     barangnya  sesuai disuruh balas  layanan pengguna  gimana  balas fitur  membalasnya    mohon uang diteruskan  penjual terimakasih ","Positive"
"  anjir haha","Positive"
"  sy kirimkan buktinya alamat griya dadap estate masuk kosambi tangerang tolong naya  cs yg cerdas ya ","Positive"
" terlampir ya mohon  follow up  thanks ","Positive"
" min tolomg cek transaksi buyer  pesan pakai grab instan   daya klik tombol pick up dr jam tp smp skrng jam blm diangkut jg tolong bantu cancel  carikan driver  min ","Positive"
" ok    kontak seller   salah masuk no resi romo bca  suka promo tokopedia  cinta  cinta hiyaa hiyaa hiyaa  nunggu  ","Positive"
"       jaringan   stabil  perbandingan  membuka market place   jalan  lancar  mohon  konfirmasi         chat konsumen  pesanan  konsumen terima kasih","Positive"
" min  pesanan diatas  udah kasih bukti foto  video  chat  komplain   bantuan tokopedia   tinggal jam  penjual udah baca chat sy tp  dibalas  dlm jam penjual  merespon  komplainnya jd batal ","Positive"
" cek dm ya min makasih a nasi bening pecel lele ka nina   dhe sukanya makanan berlemak yg gk sehat  wajar  usia dana   full   tokopedia salah memotong ongkir hrs kemanalagi kah   bantuan sih","Positive"
" min   dm tolong  bantu murah langsung masuk ehehe o kpf tpzisV sis kmrn akun temenku si a dianggap sbg akunku skrg akunnya si b diblg akunku  pdhl smuanya sekantor tokopedia   dikomplain kalo alamat ktr  trs lgs diklaim milik org dzol","Positive"
" cairkan dana  akun bank dbs  transaksi sukses tp   masuk rekening  ya mohon  info ","Positive"
"  mantep layanan e commerce     pake ribet  mesti ngulang info  you know youre in a good hand   gak   mohon bantuannya min nunggu  ","Positive"
" mohon cek dm ya min thanks","Positive"
" iyah yg  maksud  dikembalikan  tokocash  ovo point gak  bs transaksi  digerai merchant yg sdh  rekanan ovo       gak fleksibel  tokocash yg  transaksi  marketplace  digital tokopedia","Positive"
" mohon dibantu cancel transaksi    verifikasi penjual dg no ","Positive"
" oke  diterima tokocashnya terima kasih  tokopedia","Positive"
" udah dapet email nya kak kemarin sore hehe","Positive"
" weekend  cocok cairin hasil penjualanmu  tokopedia toppers ayokebut keuntungan penjualanmu  tokopedia komiktoped tokopediacare ","Positive"
" bangun indonesia    kembalikan uang customer yg  ambil ","Positive"
"  berhasil masuk ","Positive"
" iya    dr kemarin spt   ya  jne nya yg error  tokopedianya ","Positive"
" selamat siang   pembayaran listrik pascabayar via toped     dr x jam benefit cashback blm masuk  dibantu ","Positive"
" oke trims ya","Positive"
" ok terima kasih informasinya min ","Positive"
" min mohon bantuan nyaaa by dm ya","Positive"
"pagi toppers     berjuang meraih kesuksesan  lupa nikmati prosesnya ya   proses     menghargai   have a nice day tokopediacare reokopediacaretuju  iya gaadaalasan  menyerah duluan semangat ya tokopediacareps t co nxigr owTot","Positive"
"  min","Positive"
" mohon info  pengiriman no tknx  tgl oktober statusnya   proses pengiriman  tujuan  da n   update perubahan ","Positive"
" min coba bikin biar ovo point  dipake beli reksadana biar  pengguna toped  kecewa","Positive"
" ok terima kasih infonya","Positive"
" ya  cs slmt mlm","Positive"
" pusat resolusi ga membantu   twit  ","Positive"
"   terbatas      ovo point     pembayaran transaksi apapun sesuai disclaimer   syarat  ketentuan ","Positive"
" oke kak  pendebitannya ","Positive"
" ajar wae deee sik k","Positive"
" iya neh gw kudu topup ecash  ribet input password input token input no hape ditambah  kadang yg simple virtual account suka gak aktif  ngehe","Positive"
"hmmmm internal karyawan   bermasalah baiklah  ucapkan terima kasih     pakai kode kode promo  selamat tinggal kode kode promo tokopedia ","Positive"
" mohon respon","Positive"
"berhasil isi saldo e money  saldo gak bertambah  update top up saldo    mudah  nfc  smartphone atm channel bank mandiri gerai retail terdekat cek edukasitoppers tokopediacare","Positive"
" halo selamat malam   tlng  i put resi kak","Positive"
" pagi admin   update aplikasi tokped  coba  aktivasi ovo    aplikasi eror mohon bantuan  perbaikan aplikasinya terima kasih","Positive"
"  tokocash   nomer     aplikasi terima kasih","Positive"
" oke makasih ya  jawabannya sorry for not checking it before ","Positive"
"  cashback  langsung muncul kalo transaksi udah berhasil  beneran  nunggu jam sih ","Positive"
" harap    opsi nonaktifkan fitur ovo     aman   yg mengakses akun tokopedia    pembelian reksa dana dg saldo ovo   sepengetahuan  ","Positive"
" oke kak mkasih","Positive"
"   dgn sistem lacak tokopedia   resi jne  penjualan sy yg status tdk terlacak  no nya sdh ","Positive"
" mohon dgn hormat admin tokopedia tweet  dm  dibalas  butuh kejelasan  dana ","Positive"
"selamat sore   toko   mengikuti penjualan flash sale  tokopedia ya ","Positive"
"  pelanggan  bukti  tagihan   lunas dibayar   aplikasi mitra tokopedia   isi no telepon pelanggan  pelanggan  sms bukti pembayaran mohon disediakan  aplikasi mitra bukalapak ","Positive"
" penjualnya kaya tau tempeee kagak  respon kalo ga sanggup ngelayanin jgn jualan ","Positive"
" mohon bantuan min  delivered dri tgl  status nya   berubah  dikirim no resi ","Positive"
" mohon check email kakk","Positive"
" pesanan  diterima min  status pengirimannya  gantung nih dipilih selesai tetep kagak  terima kasih ","Positive"
" kali  cashback belom diterima wlpn transaksi sdh berhasil dr yg  dijanjikan x jam   mnjadi x jam   jg berubah lg mnjd x jam hr kerja   gmn nih ","Positive"
"toppers   waspada ya      mengaku  tokopedia   data pribadi   whatsapp   seputar tokopedia   hubungi  mengakses halaman bantuan  ","Positive"
" min sy  bayar tiket kereta   klik bayar  muncul kayak gini  alfamart  bni muncul    ","Positive"
" ","Positive"
" oke cek dm ya min  ku balas","Positive"
" nih  biar cashback  nambah  tunggu   tokopediacare  sih mama  pulsa gue beliin  tokopedia   setia gitu sa trakan berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
"   redeem papperlunch    mall  surabaya yg terdekat ya  tunjungan plaza grand city  mall  ya ","Positive"
"pagi   selesai  penjualan  tokopedia  membayar full rb  ongkos kirimnya    dipotong rb  alasan kelebihan ongkos kirim mohon  ditindak lanjuti ","Positive"
" tolong baca dm sy  ","Positive"
" ok tengkyu bro","Positive"
" selamat malam   laporan pendebetan    kali  balasan email cs   dana   dibayarkan  termutasi  rekening tokopedia   sistem  membutuhkan penyesuaian data   bank terkait","Positive"
" semoga  tambahin metode pembayaran  biar adil","Positive"
" min  barang  diambil   dikonfirmasi terima  driver mohon tindak  min terima kasih ","Positive"
" min gimana tagihan  jdnya  dibayar   berhasil lho  sistem toped tp dana blm masuk  kartu kredit gimana  ivr xviii x sdh byr dr tgl okt","Positive"
" siiippp terima kasih  infonya lsg aktivasi deh ovo nya ntuk refund kode unik kalo    saldo tokopedia  tokocash mohon infonya ya ","Positive"
" gmn  listing sy nongol   hak  sepeserpun namanya   langgar  sy  hire agency  bkin trending kecewatokopedia spy klean peduli tokopedia","Positive"
" dear tokped  beli pulsa   pulsanya  masuk masuk ya   histori transaksi statusnya transaksi  berhasil  pembayaran   bank via va  berhasil mohon ditindaklanjuti ya","Positive"
" iya  berhasil terimakasih admin","Positive"
" oke  tunggu    pindah  ka ","Positive"
"    uang   dr tokopedia","Positive"
"  yg  sy isi saldo emoney ribu  tdk  isi saldonya sdh lapor  customer care tp dr     tim investigasi x jam tp tdk  respon   solusi sdh   laporan kaye gini dr teman tokopedia tdk kembalikan uang","Positive"
" terima kasih kakak mohon dibantu ya kak   minggu  menunggu  dana    dikirim  rekening mohon kemurahan hatinya admin membantu  dana   dikirim  rekening  makasih","Positive"
"thanks   dana   sukses ","Positive"
" tolong bni virtual tokocashnya diaktifkan sy sdh beli ditempat  cepat  ga ribet ","Positive"
" oke terimakasih besok  pake bukalapak aja","Positive"
" oooooo jd krn ovo wallet sy blm aktif ya pantesan ok d trims yaa krn sy  gaptek dgn  ovo ovoan emuat data ","Positive"
" selamat siang     trouble pengisian paket data smartfren ","Positive"
"  terima kasih","Positive"
" selamat pagi cek dm donk min ","Positive"
" percaya diantar  jam ","Positive"
"   lihat  cindy cs sj ga paham bhw  kurir sdh mengkonfirmasi terkirim   kekeh msh dlm pengiriman   si kurir nya cerdas banget ga tuh cs  ","Positive"
" halo  ines mohon maaf  ketidaknyamanannya ya utk perihal tsb  membutuhkan  data  utk keamanan data yg   mohon kesediaan  utk mengirimkan email  alamat   mandiricare co id  dpt  layanan mandiri call ","Positive"
"   dm ya alamat emailnya jam yg  mohon dibantu ","Positive"
" mohon  cek dm trims","Positive"
" mohon dibantu pembayran gold merchant ","Positive"
"selamat malam  sistem tracking jne  tokped  error  status pengiriman   pembeli  penjual jne    tracking  tokped  udah   ","Positive"
" kmrn ane k dpt k cashback   sampe jt yak","Positive"
"  enak     diganti   penjual pembeli  makelar    ownership","Positive"
" gak  nih tokopedia","Positive"
"tim  mendukung perjuangan toppers  pahlawan    membangun bangsa indonesia    maju selamat haripahlawan toppers ","Positive"
"   keterangan  historynya transaksi dibatalkan tp saldonya kepotong tp pulsanya  ga masuk ","Positive"
" tolong dibantu krna tgl kmarin sabtu minggu   tau   direfund  barang   ","Positive"
" jd ovo point  ovo cash mohon diperjelas lg","Positive"
" sih  nggak   pelanggan setia  kayak pacar konsumen    sayang sayang biar  nggak berpaling    yuk ikutin tips tricks  toped ya tokopediacare ","Positive"
" ok maslahnya sdh  x jam sjk transaksi berhasil mhn bantuan cek invoice ph rqehq oac ph rqehq nqsm sy mggunakan promo gajianseru x utk pembelian tiket pesawat  s k msg akun  mggunakan x kode promo  produk  yg mdpat cashback  transksi tks","Positive"
" ok makasih ya","Positive"
"     menghentikan pemberitahuan emailnya kak   email   notif       ","Positive"
" waspada pake jasa  duitnya gak  kaya yg  alami ","Positive"
"  beralasan kode cobadulu  x  produk        transaksi  kode diterima ","Positive"
" finally   pesen tiket jalan proses cepat  potongan langsung thank you ","Positive"
"  guru sedunia  guru mata pelajaran    favoritmu toppers share yuk harigurusedunia tokopediacare krn gak   top up trus piye ya kemarin jam pagi sdh bayakali   kudu piye ny time s t co yroiryslhps t co hcpdeqgot","Positive"
"  pengiriman gosend sameday  barang tsb dianggap       kalo  besok  total     penjual   diambil    terbit resi  berbeda ya ","Positive"
"bahagia  sederhana sesederhana bersyukur     miliki  mensyukuri keberadaan       semangatpagi tokopediacarthankyouat  pdhl sdh melewati batas jam dr yg diinformasikan sblmnya ya toko nya  nipu  gmn makasih ","Positive"
" selamat pagi min cek dm","Positive"
" maaf  barusan  ngisi pulsa smartfren yg rb kebtulan saldo tokocash sy  rb sekian  yg nya sy trf sesuai dg intruksi pembayran  sy trf brhasil tp knp  menunggu pembayaran ","Positive"
" hallo   nanya  ongkir  tokped   resi beda   murah  resi   gantinya sesuai  ya ","Positive"
"min bedanya syailendra dana kas  tokopedia reksa dana syailendra dana kas   yah   keuntungan  promo tersendiri yg  invst  bareksa  tokped berbeda ","Positive"
" min mohon bantuan kalo ovo security lupa  ","Positive"
" min just saran tolong diadakan top up ovo donk via tokopedia sesuai motto nya mulaiajadulu ditokopedia","Positive"
"   aktivasi ovo  sya lihat barusan  toped sya tokocash aktif   cashback    terima ya   jam   kakak bilang kemarin","Positive"
"  bpk  mhn kesediaan bpk  utk menunggu balsan dr email  ya tks lesa","Positive"
" done ya naya barang sdh  semoga next time tokopedia   prosesnya thx ","Positive"
"     pembayaran melalu briva     pembayaranny   konfirmasi   lampirkan screenshoot bukti transfernya mohon  bantu ","Positive"
"   tunggu","Positive"
" tolong cek s k  kode promo permatacc dimana disitu tertulis  promo jam dr tgl nov   jam kuota  langsing habis    jam  ","Positive"
"min mohon bantuannya cashback tokocash   masuk   skrg utk transaksi tiket pesawat  syarat  ketentuan  memenuhi ","Positive"
"  dikirim yaa min mohon ditindaklanjuti yaa miin","Positive"
" mohon penjelasan  tagihan dgn no invoice tgl oktober utk pembelian unit lenovo yoga yg ditagih fullpayment  kartu kredit    transaksi dipilih metode pembayaran cicilan x","Positive"
"makasih   promonya  suka promo bca  suka promo tokopedia  cinta  cinta hiyaa hiyaa hiyaa  nunggu  ","Positive"
" trima kasih bener ya mohon info updatingnya tq","Positive"
"    memasukkan resi  ya ","Positive"
"    hilangkan  ovo point nya mnurut   ovo cash nya biar  tokocash    cashback  masuk saldo toped aja drpd  konversi  point  penggunaan nya jd terbatas","Positive"
" iya skrng tokonya gk muncul kaya  ","Positive"
" malam min  nanya       beli barang    pilihan durasi ya  ga  pilihan kaya gini  maksudnya  ya min ","Positive"
"min ko sy ga  aktifasi ovo  tokopedia yaa  klik aktifasi tp g  respon","Positive"
" sarkas  nang gara ngasih  resolusi ngga   cikarang  karawang d","Positive"
" min coba tolong dimoderasi kalo    no resi yg   dikirim batalin aja besok pagi  transaksi lg  toko  ready   kirim udah  inbox udah dibaca tp gak dibales spt mempermainkan pembeli aja nih","Positive"
"   menunggu  nilai nominal ga  tp     solusi ","Positive"
" dibilang  sabar cc ","Positive"
" iya tp tdk   automatic tinggal klik nama penumpang langsung keisi  lha  muncul duplicate name   gbs pilihkursi gbs bayar gmn  ","Positive"
" klo  ditambahin  pembelian tiket pesawat  tokocash  ","Positive"
" intinya sabar gan wkwkwk ","Positive"
" oke terimakasih   kirim datanya ","Positive"
"   versi    simpan format order  pesanan alamat jasa pengiriman   orderanya    kurangi alamat laintidak mesti bolak   cart biar  akumulasi cashback free ongkir terpenuhi","Positive"
"min    taktivasi ovo kog   mohon bantuan ","Positive"
" coba dimengerti   jakarta pesan barang  dikirim  gosend tau x dikirim  tiki  lampung  udah  ngaco hrs tunggu x jam   dibantu sy beli barang  tokopedia udah   gara x pengalaman buruk  lgsg  gak aman lg ","Positive"
" selamat siang   tokopedia care   pembayaran telp  invoice sep ivr xviii ix kemarin  pemberitahuan   telkom  tagihan tdk terbayar tolong dibantu cek   error terima kasih","Positive"
" belom ngerasain  phpin toko seh janji uang       sesuai aturan  gak  tu php doang ak masuk   saldo toko  mohon bantuannya q qjaare","Positive"
" min mohon  dipickup ulang","Positive"
" siang   melapor  status barang yg  pesan dr toped  jne     barang     lapor jne   lapor  toped   didebit  barang  hadir makasih","Positive"
" min  uda twit berkali klo  gagal aktivasi  tp blm  solusi yg memuaskan dr   uda coba berkali     bkn pengguna ovo    aktivasi yg berbeda unt yg bkn pengguna ovo silakan cek dm  unt detail","Positive"
" min tgl   pembayaran indihome via klikbca  klikbca status  berhasil saldo   terpotong    tokopedia status  menunggu pembayaran alhasil  indihome kena denda gimana ya ","Positive"
" oke  coba ya","Positive"
"   komplain  pusat resolusi    seller blm   mohon  cek ","Positive"
" maw nanya minimum tarikdana saldo  rekening bank bca bni bri tuwh  yax klo  link   dibaca maw yax t q very big km tr dos  berpindah karna su sayang nyanyi mulaiajadulu tokopedtokopediacareps t co nxigr owTot","Positive"
" mohon penjelasaannya kak      ku gratis ongkir ","Positive"
" mohon cek transaksi ivr xviii x berhasil tdk ya   bayar via virtual account bca buktinya   dm ","Positive"
" mohon bantu min  beli tiket kai  dapet cashback   saldo  tetep transaksi  berhasil tolong bantu ","Positive"
" ok makasih kak","Positive"
"   dm mohon  cek ya terims","Positive"
"hai  ovo cash   top up   top up  e cash   trims","Positive"
" dear all mohon dibantu penjualan sayadan janji tokopedia review x jam      x jam   tgl okt tokopedia menarik   mohon saran  pihal  ","Positive"
" ga  request pickup  tinggal jam  mohon dibantu ","Positive"
"kode kode asmara  susah dimengerti beda cerita  kode promo tokopedia    hati tokopediacare  adatipsnyatoppers tokopediacare tokopediacare mulaiajadulu tokopedya ","Positive"
"dear admin mohon bantuan  ga  hubungi driver    data driver  nomer hpnya terimakasih ","Positive"
" terimakasih   cashback nya  pakai tokopedia  pembayaran tagihan  cash back nya    jatuh cinta but hopefully proses verifikasi   cepat   input x t  ","Positive"
" cancel  alasan sistem     bohong ya kl cancel  dana  dikembalikan     sistem       adakan cashback  ujung mengecewakan      maaf ","Positive"
" siy e commerce unicorn top lokal klo cek toko sblh ga  amir  krna nominal  onlineshopping ","Positive"
"hallo mohon cek dm","Positive"
" no pesanan mohon ditindaklanjuti","Positive"
" mohon disegerakan kak","Positive"
" ok brti   atw angus thank u penjelasannya","Positive"
" terima kasih min   gak enak  sellernya   langganan  trims","Positive"
"  terima kasih","Positive"
"  minggu solusi diputar  cs  berbeda  tdk memahami keluhaannya","Positive"
" iya   kuciwa bgt deh   cek pap historinya klik aja menu tokocash nya","Positive"
"oke kak   konfirmasi by email  ","Positive"
" holaaa  top up e money  stok kosong sii help","Positive"
" ok thanks responnya","Positive"
"      tokocash    dipaksa  belanja  produk digital ","Positive"
"  terima kasih min ovonya udah  aktivasi","Positive"
"min   email voucher   tautan gambar   kode vouchernya n a not available terima kasih ","Positive"
" kak kerjasama    pembayaran angsuran kreditnya biar pelanggan akulaku mudah   pembayaran cicilan kredit ","Positive"
" pagi toped yg imut  kode voucher kupon voucher  top up ovo gk ","Positive"
" selamat malam    ovo cash  ovo point mksdnya  ya tdi  bayar tokopedia dhn promo cashback   tdk masuk  ovo cash ya ","Positive"
"  deals cashback  potensi cashbacknya   cashbacknya  ","Positive"
" pembelian tiket   berhasil kak pembelian tiket    masuk mohon bantuannya trims","Positive"
" tolong  pakai cc  digabung  ovo ko pas  lihat invoicenya   bayar full  dipotong ovo  saldo ovo  hilang tlg bantu","Positive"
"  iya  mendadak hilang ya klo  sisa toko cash yg masuk k ovo  ga keliatan ","Positive"
" poppy terima kasih  pengertiannya  kakak moga poppy  teman  membantu kakak ya  php in  ya kubutuh kepastiaan coba  applikasi   metode pembayarannya lost many time s t co yroiryslhps t co hcpdeqgot","Positive"
